Order_Date,Order_DateN,Date,Year,Quarter,Quarter_Name,Month,Month_Name,Month_Name_Short,Week_Number,Weekday,Weekday_Name,Weekday_Name_Short
15 Sep 2016,2016-09-15,2016-09-15,2016.0,3,Q3,9,September,Sep,37,4,Thursday,Thu
10/15/2012,2012-10-15,2012-10-15,2012.0,4,Q4,10,October,Oct,42,1,Monday,Mon
11-Mar-11 12:00:00 AM,2011-03-11,2011-03-11,2011.0,1,Q1,3,March,Mar,10,5,Friday,Fri
40889,,,,0,NaT,0,,,,0,,
9/14/2011,2011-09-14,2011-09-14,2011.0,3,Q3,9,September,Sep,37,3,Wednesday,Wed
15 September 2012,2012-09-15,2012-09-15,2012.0,3,Q3,9,September,Sep,37,6,Saturday,Sat
11-May-14 12:00:00 AM,2014-05-11,2014-05-11,2014.0,2,Q2,5,May,May,19,7,Sunday,Sun
1/14/2014,2014-01-14,2014-01-14,2014.0,1,Q1,1,January,Jan,3,2,Tuesday,Tue
01-Oct-11 12:00:00 AM,2011-10-01,2011-10-01,2011.0,4,Q4,10,October,Oct,39,6,Saturday,Sat
8/22/2013,2013-08-22,2013-08-22,2013.0,3,Q3,8,August,Aug,34,4,Thursday,Thu
11-Nov-14 12:00:00 AM,2014-11-11,2014-11-11,2014.0,4,Q4,11,November,Nov,46,2,Tuesday,Tue
9/26/2014,2014-09-26,2014-09-26,2014.0,3,Q3,9,September,Sep,39,5,Friday,Fri
12/13/2012,2012-12-13,2012-12-13,2012.0,4,Q4,12,December,Dec,50,4,Thursday,Thu
9/23/2011,2011-09-23,2011-09-23,2011.0,3,Q3,9,September,Sep,38,5,Friday,Fri
9/23/2011,2011-09-23,2011-09-23,2011.0,3,Q3,9,September,Sep,38,5,Friday,Fri
03-Aug-13 12:00:00 AM,2013-08-03,2013-08-03,2013.0,3,Q3,8,August,Aug,31,6,Saturday,Sat
8/28/2014,2014-08-28,2014-08-28,2014.0,3,Q3,8,August,Aug,35,4,Thursday,Thu
05-Jan-14 12:00:00 AM,2014-01-05,2014-01-05,2014.0,1,Q1,1,January,Jan,1,7,Sunday,Sun
12/18/2014,2014-12-18,2014-12-18,2014.0,4,Q4,12,December,Dec,51,4,Thursday,Thu
6/16/2012,2012-06-16,2012-06-16,2012.0,2,Q2,6,June,Jun,24,6,Saturday,Sat
9/18/2014,2014-09-18,2014-09-18,2014.0,3,Q3,9,September,Sep,38,4,Thursday,Thu
7/25/2014,2014-07-25,2014-07-25,2014.0,3,Q3,7,July,Jul,30,5,Friday,Fri
12/17/2011,2011-12-17,2011-12-17,2011.0,4,Q4,12,December,Dec,50,6,Saturday,Sat
12/18/2013,2013-12-18,2013-12-18,2013.0,4,Q4,12,December,Dec,51,3,Wednesday,Wed
5/30/2012,2012-05-30,2012-05-30,2012.0,2,Q2,5,May,May,22,3,Wednesday,Wed
3/19/2012,2012-03-19,2012-03-19,2012.0,1,Q1,3,March,Mar,12,1,Monday,Mon
5/25/2012,2012-05-25,2012-05-25,2012.0,2,Q2,5,May,May,21,5,Friday,Fri
08-May-14 12:00:00 AM,2014-05-08,2014-05-08,2014.0,2,Q2,5,May,May,19,4,Thursday,Thu
8/24/2014,2014-08-24,2014-08-24,2014.0,3,Q3,8,August,Aug,34,7,Sunday,Sun
03-Nov-14 12:00:00 AM,2014-11-03,2014-11-03,2014.0,4,Q4,11,November,Nov,45,1,Monday,Mon
11-Aug-12 12:00:00 AM,2012-08-11,2012-08-11,2012.0,3,Q3,8,August,Aug,32,6,Saturday,Sat
08-Nov-14 12:00:00 AM,2014-11-08,2014-11-08,2014.0,4,Q4,11,November,Nov,45,6,Saturday,Sat
8/31/2013,2013-08-31,2013-08-31,2013.0,3,Q3,8,August,Aug,35,6,Saturday,Sat
1/18/2014,2014-01-18,2014-01-18,2014.0,1,Q1,1,January,Jan,3,6,Saturday,Sat
12-Feb-13 12:00:00 AM,2013-02-12,2013-02-12,2013.0,1,Q1,2,February,Feb,7,2,Tuesday,Tue
12-Jul-14 12:00:00 AM,2014-07-12,2014-07-12,2014.0,3,Q3,7,July,Jul,28,6,Saturday,Sat
12/16/2014,2014-12-16,2014-12-16,2014.0,4,Q4,12,December,Dec,51,2,Tuesday,Tue
11/20/2014,2014-11-20,2014-11-20,2014.0,4,Q4,11,November,Nov,47,4,Thursday,Thu
11-Sep-11 12:00:00 AM,2011-09-11,2011-09-11,2011.0,3,Q3,9,September,Sep,36,7,Sunday,Sun
06-Jul-13 12:00:00 AM,2013-07-06,2013-07-06,2013.0,3,Q3,7,July,Jul,27,6,Saturday,Sat
11/22/2011,2011-11-22,2011-11-22,2011.0,4,Q4,11,November,Nov,47,2,Tuesday,Tue
3/29/2013,2013-03-29,2013-03-29,2013.0,1,Q1,3,March,Mar,13,5,Friday,Fri
8/26/2014,2014-08-26,2014-08-26,2014.0,3,Q3,8,August,Aug,35,2,Tuesday,Tue
9/20/2012,2012-09-20,2012-09-20,2012.0,3,Q3,9,September,Sep,38,4,Thursday,Thu
5/16/2014,2014-05-16,2014-05-16,2014.0,2,Q2,5,May,May,20,5,Friday,Fri
3/16/2012,2012-03-16,2012-03-16,2012.0,1,Q1,3,March,Mar,11,5,Friday,Fri
11/24/2013,2013-11-24,2013-11-24,2013.0,4,Q4,11,November,Nov,47,7,Sunday,Sun
11-Sep-11 12:00:00 AM,2011-09-11,2011-09-11,2011.0,3,Q3,9,September,Sep,36,7,Sunday,Sun
10/28/2011,2011-10-28,2011-10-28,2011.0,4,Q4,10,October,Oct,43,5,Friday,Fri
11/19/2014,2014-11-19,2014-11-19,2014.0,4,Q4,11,November,Nov,47,3,Wednesday,Wed
10/28/2014,2014-10-28,2014-10-28,2014.0,4,Q4,10,October,Oct,44,2,Tuesday,Tue
1/17/2014,2014-01-17,2014-01-17,2014.0,1,Q1,1,January,Jan,3,5,Friday,Fri
8/18/2014,2014-08-18,2014-08-18,2014.0,3,Q3,8,August,Aug,34,1,Monday,Mon
1/29/2013,2013-01-29,2013-01-29,2013.0,1,Q1,1,January,Jan,5,2,Tuesday,Tue
9/18/2012,2012-09-18,2012-09-18,2012.0,3,Q3,9,September,Sep,38,2,Tuesday,Tue
11/23/2013,2013-11-23,2013-11-23,2013.0,4,Q4,11,November,Nov,47,6,Saturday,Sat
6/13/2012,2012-06-13,2012-06-13,2012.0,2,Q2,6,June,Jun,24,3,Wednesday,Wed
10/28/2013,2013-10-28,2013-10-28,2013.0,4,Q4,10,October,Oct,44,1,Monday,Mon
12-Dec-13 12:00:00 AM,2013-12-12,2013-12-12,2013.0,4,Q4,12,December,Dec,50,4,Thursday,Thu
5/25/2012,2012-05-25,2012-05-25,2012.0,2,Q2,5,May,May,21,5,Friday,Fri
05-Jun-13 12:00:00 AM,2013-06-05,2013-06-05,2013.0,2,Q2,6,June,Jun,23,3,Wednesday,Wed
12-Feb-13 12:00:00 AM,2013-02-12,2013-02-12,2013.0,1,Q1,2,February,Feb,7,2,Tuesday,Tue
12/23/2014,2014-12-23,2014-12-23,2014.0,4,Q4,12,December,Dec,52,2,Tuesday,Tue
1/28/2013,2013-01-28,2013-01-28,2013.0,1,Q1,1,January,Jan,5,1,Monday,Mon
05-Jul-12 12:00:00 AM,2012-07-05,2012-07-05,2012.0,3,Q3,7,July,Jul,27,4,Thursday,Thu
11/27/2013,2013-11-27,2013-11-27,2013.0,4,Q4,11,November,Nov,48,3,Wednesday,Wed
11/28/2012,2012-11-28,2012-11-28,2012.0,4,Q4,11,November,Nov,48,3,Wednesday,Wed
9/29/2012,2012-09-29,2012-09-29,2012.0,3,Q3,9,September,Sep,39,6,Saturday,Sat
09-Mar-13 12:00:00 AM,2013-03-09,2013-03-09,2013.0,1,Q1,3,March,Mar,10,6,Saturday,Sat
7/26/2013,2013-07-26,2013-07-26,2013.0,3,Q3,7,July,Jul,30,5,Friday,Fri
11/19/2014,2014-11-19,2014-11-19,2014.0,4,Q4,11,November,Nov,47,3,Wednesday,Wed
6/19/2012,2012-06-19,2012-06-19,2012.0,2,Q2,6,June,Jun,25,2,Tuesday,Tue
10-Nov-12 12:00:00 AM,2012-11-10,2012-11-10,2012.0,4,Q4,11,November,Nov,45,6,Saturday,Sat
08-Sep-11 12:00:00 AM,2011-09-08,2011-09-08,2011.0,3,Q3,9,September,Sep,36,4,Thursday,Thu
11-May-11 12:00:00 AM,2011-05-11,2011-05-11,2011.0,2,Q2,5,May,May,19,3,Wednesday,Wed
11-Jul-14 12:00:00 AM,2014-07-11,2014-07-11,2014.0,3,Q3,7,July,Jul,28,5,Friday,Fri
4/26/2013,2013-04-26,2013-04-26,2013.0,2,Q2,4,April,Apr,17,5,Friday,Fri
12/26/2013,2013-12-26,2013-12-26,2013.0,4,Q4,12,December,Dec,52,4,Thursday,Thu
3/13/2013,2013-03-13,2013-03-13,2013.0,1,Q1,3,March,Mar,11,3,Wednesday,Wed
4/17/2013,2013-04-17,2013-04-17,2013.0,2,Q2,4,April,Apr,16,3,Wednesday,Wed
04-May-12 12:00:00 AM,2012-05-04,2012-05-04,2012.0,2,Q2,5,May,May,18,5,Friday,Fri
12/26/2012,2012-12-26,2012-12-26,2012.0,4,Q4,12,December,Dec,52,3,Wednesday,Wed
4/18/2013,2013-04-18,2013-04-18,2013.0,2,Q2,4,April,Apr,16,4,Thursday,Thu
5/24/2011,2011-05-24,2011-05-24,2011.0,2,Q2,5,May,May,21,2,Tuesday,Tue
5/22/2012,2012-05-22,2012-05-22,2012.0,2,Q2,5,May,May,21,2,Tuesday,Tue
5/16/2013,2013-05-16,2013-05-16,2013.0,2,Q2,5,May,May,20,4,Thursday,Thu
12-Jun-11 12:00:00 AM,2011-06-12,2011-06-12,2011.0,2,Q2,6,June,Jun,23,7,Sunday,Sun
2/16/2011,2011-02-16,2011-02-16,2011.0,1,Q1,2,February,Feb,7,3,Wednesday,Wed
5/31/2013,2013-05-31,2013-05-31,2013.0,2,Q2,5,May,May,22,5,Friday,Fri
10-Jan-13 12:00:00 AM,2013-01-10,2013-01-10,2013.0,1,Q1,1,January,Jan,2,4,Thursday,Thu
12/14/2011,2011-12-14,2011-12-14,2011.0,4,Q4,12,December,Dec,50,3,Wednesday,Wed
12/18/2013,2013-12-18,2013-12-18,2013.0,4,Q4,12,December,Dec,51,3,Wednesday,Wed
12-Nov-13 12:00:00 AM,2013-11-12,2013-11-12,2013.0,4,Q4,11,November,Nov,46,2,Tuesday,Tue
3/18/2014,2014-03-18,2014-03-18,2014.0,1,Q1,3,March,Mar,12,2,Tuesday,Tue
12/19/2014,2014-12-19,2014-12-19,2014.0,4,Q4,12,December,Dec,51,5,Friday,Fri
12/20/2011,2011-12-20,2011-12-20,2011.0,4,Q4,12,December,Dec,51,2,Tuesday,Tue
5/24/2013,2013-05-24,2013-05-24,2013.0,2,Q2,5,May,May,21,5,Friday,Fri
10/14/2011,2011-10-14,2011-10-14,2011.0,4,Q4,10,October,Oct,41,5,Friday,Fri
9/18/2014,2014-09-18,2014-09-18,2014.0,3,Q3,9,September,Sep,38,4,Thursday,Thu
11/25/2013,2013-11-25,2013-11-25,2013.0,4,Q4,11,November,Nov,48,1,Monday,Mon
11-Jul-13 12:00:00 AM,2013-07-11,2013-07-11,2013.0,3,Q3,7,July,Jul,28,4,Thursday,Thu
7/19/2014,2014-07-19,2014-07-19,2014.0,3,Q3,7,July,Jul,29,6,Saturday,Sat
8/16/2012,2012-08-16,2012-08-16,2012.0,3,Q3,8,August,Aug,33,4,Thursday,Thu
8/27/2013,2013-08-27,2013-08-27,2013.0,3,Q3,8,August,Aug,35,2,Tuesday,Tue
01-Nov-12 12:00:00 AM,2012-11-01,2012-11-01,2012.0,4,Q4,11,November,Nov,44,4,Thursday,Thu
1/28/2013,2013-01-28,2013-01-28,2013.0,1,Q1,1,January,Jan,5,1,Monday,Mon
6/14/2012,2012-06-14,2012-06-14,2012.0,2,Q2,6,June,Jun,24,4,Thursday,Thu
12-Jan-11 12:00:00 AM,2011-01-12,2011-01-12,2011.0,1,Q1,1,January,Jan,2,3,Wednesday,Wed
6/25/2013,2013-06-25,2013-06-25,2013.0,2,Q2,6,June,Jun,26,2,Tuesday,Tue
12-Jun-12 12:00:00 AM,2012-06-12,2012-06-12,2012.0,2,Q2,6,June,Jun,24,2,Tuesday,Tue
09-May-13 12:00:00 AM,2013-05-09,2013-05-09,2013.0,2,Q2,5,May,May,19,4,Thursday,Thu
9/18/2014,2014-09-18,2014-09-18,2014.0,3,Q3,9,September,Sep,38,4,Thursday,Thu
09-Dec-14 12:00:00 AM,2014-12-09,2014-12-09,2014.0,4,Q4,12,December,Dec,50,2,Tuesday,Tue
08-Mar-12 12:00:00 AM,2012-03-08,2012-03-08,2012.0,1,Q1,3,March,Mar,10,4,Thursday,Thu
12-Sep-14 12:00:00 AM,2014-09-12,2014-09-12,2014.0,3,Q3,9,September,Sep,37,5,Friday,Fri
10/25/2012,2012-10-25,2012-10-25,2012.0,4,Q4,10,October,Oct,43,4,Thursday,Thu
7/13/2012,2012-07-13,2012-07-13,2012.0,3,Q3,7,July,Jul,28,5,Friday,Fri
8/27/2013,2013-08-27,2013-08-27,2013.0,3,Q3,8,August,Aug,35,2,Tuesday,Tue
5/13/2011,2011-05-13,2011-05-13,2011.0,2,Q2,5,May,May,19,5,Friday,Fri
11-Mar-11 12:00:00 AM,2011-03-11,2011-03-11,2011.0,1,Q1,3,March,Mar,10,5,Friday,Fri
08-Feb-14 12:00:00 AM,2014-02-08,2014-02-08,2014.0,1,Q1,2,February,Feb,6,6,Saturday,Sat
9/20/2011,2011-09-20,2011-09-20,2011.0,3,Q3,9,September,Sep,38,2,Tuesday,Tue
01-Aug-14 12:00:00 AM,2014-08-01,2014-08-01,2014.0,3,Q3,8,August,Aug,31,5,Friday,Fri
03-Nov-13 12:00:00 AM,2013-11-03,2013-11-03,2013.0,4,Q4,11,November,Nov,44,7,Sunday,Sun
02-Feb-12 12:00:00 AM,2012-02-02,2012-02-02,2012.0,1,Q1,2,February,Feb,5,4,Thursday,Thu
09-Sep-13 12:00:00 AM,2013-09-09,2013-09-09,2013.0,3,Q3,9,September,Sep,37,1,Monday,Mon
04-Sep-14 12:00:00 AM,2014-09-04,2014-09-04,2014.0,3,Q3,9,September,Sep,36,4,Thursday,Thu
03-Feb-13 12:00:00 AM,2013-02-03,2013-02-03,2013.0,1,Q1,2,February,Feb,5,7,Sunday,Sun
3/19/2014,2014-03-19,2014-03-19,2014.0,1,Q1,3,March,Mar,12,3,Wednesday,Wed
10-Feb-13 12:00:00 AM,2013-02-10,2013-02-10,2013.0,1,Q1,2,February,Feb,6,7,Sunday,Sun
01-Dec-13 12:00:00 AM,2013-12-01,2013-12-01,2013.0,4,Q4,12,December,Dec,48,7,Sunday,Sun
8/20/2014,2014-08-20,2014-08-20,2014.0,3,Q3,8,August,Aug,34,3,Wednesday,Wed
12/17/2011,2011-12-17,2011-12-17,2011.0,4,Q4,12,December,Dec,50,6,Saturday,Sat
3/14/2014,2014-03-14,2014-03-14,2014.0,1,Q1,3,March,Mar,11,5,Friday,Fri
3/26/2013,2013-03-26,2013-03-26,2013.0,1,Q1,3,March,Mar,13,2,Tuesday,Tue
07-Sep-14 12:00:00 AM,2014-09-07,2014-09-07,2014.0,3,Q3,9,September,Sep,36,7,Sunday,Sun
06-Nov-13 12:00:00 AM,2013-11-06,2013-11-06,2013.0,4,Q4,11,November,Nov,45,3,Wednesday,Wed
08-Oct-11 12:00:00 AM,2011-10-08,2011-10-08,2011.0,4,Q4,10,October,Oct,40,6,Saturday,Sat
3/17/2014,2014-03-17,2014-03-17,2014.0,1,Q1,3,March,Mar,12,1,Monday,Mon
01-Feb-13 12:00:00 AM,2013-02-01,2013-02-01,2013.0,1,Q1,2,February,Feb,5,5,Friday,Fri
11/26/2013,2013-11-26,2013-11-26,2013.0,4,Q4,11,November,Nov,48,2,Tuesday,Tue
10-Oct-12 12:00:00 AM,2012-10-10,2012-10-10,2012.0,4,Q4,10,October,Oct,41,3,Wednesday,Wed
10/23/2014,2014-10-23,2014-10-23,2014.0,4,Q4,10,October,Oct,43,4,Thursday,Thu
6/17/2011,2011-06-17,2011-06-17,2011.0,2,Q2,6,June,Jun,24,5,Friday,Fri
04-Mar-14 12:00:00 AM,2014-03-04,2014-03-04,2014.0,1,Q1,3,March,Mar,10,2,Tuesday,Tue
5/17/2011,2011-05-17,2011-05-17,2011.0,2,Q2,5,May,May,20,2,Tuesday,Tue
02-Nov-14 12:00:00 AM,2014-11-02,2014-11-02,2014.0,4,Q4,11,November,Nov,44,7,Sunday,Sun
10-Dec-13 12:00:00 AM,2013-12-10,2013-12-10,2013.0,4,Q4,12,December,Dec,50,2,Tuesday,Tue
9/19/2011,2011-09-19,2011-09-19,2011.0,3,Q3,9,September,Sep,38,1,Monday,Mon
7/17/2014,2014-07-17,2014-07-17,2014.0,3,Q3,7,July,Jul,29,4,Thursday,Thu
11/22/2014,2014-11-22,2014-11-22,2014.0,4,Q4,11,November,Nov,47,6,Saturday,Sat
5/30/2011,2011-05-30,2011-05-30,2011.0,2,Q2,5,May,May,22,1,Monday,Mon
04-Jan-14 12:00:00 AM,2014-01-04,2014-01-04,2014.0,1,Q1,1,January,Jan,1,6,Saturday,Sat
7/17/2014,2014-07-17,2014-07-17,2014.0,3,Q3,7,July,Jul,29,4,Thursday,Thu
8/29/2014,2014-08-29,2014-08-29,2014.0,3,Q3,8,August,Aug,35,5,Friday,Fri
12/26/2012,2012-12-26,2012-12-26,2012.0,4,Q4,12,December,Dec,52,3,Wednesday,Wed
11-Nov-14 12:00:00 AM,2014-11-11,2014-11-11,2014.0,4,Q4,11,November,Nov,46,2,Tuesday,Tue
05-Jan-13 12:00:00 AM,2013-01-05,2013-01-05,2013.0,1,Q1,1,January,Jan,1,6,Saturday,Sat
8/16/2011,2011-08-16,2011-08-16,2011.0,3,Q3,8,August,Aug,33,2,Tuesday,Tue
12-Mar-14 12:00:00 AM,2014-03-12,2014-03-12,2014.0,1,Q1,3,March,Mar,11,3,Wednesday,Wed
6/25/2013,2013-06-25,2013-06-25,2013.0,2,Q2,6,June,Jun,26,2,Tuesday,Tue
1/21/2013,2013-01-21,2013-01-21,2013.0,1,Q1,1,January,Jan,4,1,Monday,Mon
10/22/2013,2013-10-22,2013-10-22,2013.0,4,Q4,10,October,Oct,43,2,Tuesday,Tue
07-Dec-14 12:00:00 AM,2014-12-07,2014-12-07,2014.0,4,Q4,12,December,Dec,49,7,Sunday,Sun
12/26/2013,2013-12-26,2013-12-26,2013.0,4,Q4,12,December,Dec,52,4,Thursday,Thu
09-Jan-14 12:00:00 AM,2014-01-09,2014-01-09,2014.0,1,Q1,1,January,Jan,2,4,Thursday,Thu
11/17/2011,2011-11-17,2011-11-17,2011.0,4,Q4,11,November,Nov,46,4,Thursday,Thu
06-Jul-11 12:00:00 AM,2011-07-06,2011-07-06,2011.0,3,Q3,7,July,Jul,27,3,Wednesday,Wed
10/13/2011,2011-10-13,2011-10-13,2011.0,4,Q4,10,October,Oct,41,4,Thursday,Thu
06-Oct-13 12:00:00 AM,2013-10-06,2013-10-06,2013.0,4,Q4,10,October,Oct,40,7,Sunday,Sun
12/13/2014,2014-12-13,2014-12-13,2014.0,4,Q4,12,December,Dec,50,6,Saturday,Sat
10/13/2014,2014-10-13,2014-10-13,2014.0,4,Q4,10,October,Oct,42,1,Monday,Mon
06-Oct-14 12:00:00 AM,2014-10-06,2014-10-06,2014.0,4,Q4,10,October,Oct,41,1,Monday,Mon
2/15/2011,2011-02-15,2011-02-15,2011.0,1,Q1,2,February,Feb,7,2,Tuesday,Tue
11/28/2013,2013-11-28,2013-11-28,2013.0,4,Q4,11,November,Nov,48,4,Thursday,Thu
6/18/2014,2014-06-18,2014-06-18,2014.0,2,Q2,6,June,Jun,25,3,Wednesday,Wed
9/20/2013,2013-09-20,2013-09-20,2013.0,3,Q3,9,September,Sep,38,5,Friday,Fri
08-Sep-11 12:00:00 AM,2011-09-08,2011-09-08,2011.0,3,Q3,9,September,Sep,36,4,Thursday,Thu
6/21/2011,2011-06-21,2011-06-21,2011.0,2,Q2,6,June,Jun,25,2,Tuesday,Tue
08-Feb-12 12:00:00 AM,2012-02-08,2012-02-08,2012.0,1,Q1,2,February,Feb,6,3,Wednesday,Wed
6/19/2012,2012-06-19,2012-06-19,2012.0,2,Q2,6,June,Jun,25,2,Tuesday,Tue
7/16/2012,2012-07-16,2012-07-16,2012.0,3,Q3,7,July,Jul,29,1,Monday,Mon
08-Feb-13 12:00:00 AM,2013-02-08,2013-02-08,2013.0,1,Q1,2,February,Feb,6,5,Friday,Fri
5/22/2014,2014-05-22,2014-05-22,2014.0,2,Q2,5,May,May,21,4,Thursday,Thu
02-Oct-11 12:00:00 AM,2011-10-02,2011-10-02,2011.0,4,Q4,10,October,Oct,39,7,Sunday,Sun
9/27/2013,2013-09-27,2013-09-27,2013.0,3,Q3,9,September,Sep,39,5,Friday,Fri
06-Feb-14 12:00:00 AM,2014-02-06,2014-02-06,2014.0,1,Q1,2,February,Feb,6,4,Thursday,Thu
9/30/2013,2013-09-30,2013-09-30,2013.0,3,Q3,9,September,Sep,40,1,Monday,Mon
7/19/2011,2011-07-19,2011-07-19,2011.0,3,Q3,7,July,Jul,29,2,Tuesday,Tue
8/14/2014,2014-08-14,2014-08-14,2014.0,3,Q3,8,August,Aug,33,4,Thursday,Thu
7/26/2013,2013-07-26,2013-07-26,2013.0,3,Q3,7,July,Jul,30,5,Friday,Fri
10/31/2014,2014-10-31,2014-10-31,2014.0,4,Q4,10,October,Oct,44,5,Friday,Fri
7/25/2013,2013-07-25,2013-07-25,2013.0,3,Q3,7,July,Jul,30,4,Thursday,Thu
10-Jul-14 12:00:00 AM,2014-07-10,2014-07-10,2014.0,3,Q3,7,July,Jul,28,4,Thursday,Thu
10/17/2014,2014-10-17,2014-10-17,2014.0,4,Q4,10,October,Oct,42,5,Friday,Fri
12-Mar-13 12:00:00 AM,2013-03-12,2013-03-12,2013.0,1,Q1,3,March,Mar,11,2,Tuesday,Tue
11-Aug-14 12:00:00 AM,2014-08-11,2014-08-11,2014.0,3,Q3,8,August,Aug,33,1,Monday,Mon
06-Oct-13 12:00:00 AM,2013-10-06,2013-10-06,2013.0,4,Q4,10,October,Oct,40,7,Sunday,Sun
9/21/2011,2011-09-21,2011-09-21,2011.0,3,Q3,9,September,Sep,38,3,Wednesday,Wed
6/21/2011,2011-06-21,2011-06-21,2011.0,2,Q2,6,June,Jun,25,2,Tuesday,Tue
05-Sep-14 12:00:00 AM,2014-09-05,2014-09-05,2014.0,3,Q3,9,September,Sep,36,5,Friday,Fri
9/23/2014,2014-09-23,2014-09-23,2014.0,3,Q3,9,September,Sep,39,2,Tuesday,Tue
11/26/2014,2014-11-26,2014-11-26,2014.0,4,Q4,11,November,Nov,48,3,Wednesday,Wed
3/30/2012,2012-03-30,2012-03-30,2012.0,1,Q1,3,March,Mar,13,5,Friday,Fri
11-Oct-11 12:00:00 AM,2011-10-11,2011-10-11,2011.0,4,Q4,10,October,Oct,41,2,Tuesday,Tue
8/22/2014,2014-08-22,2014-08-22,2014.0,3,Q3,8,August,Aug,34,5,Friday,Fri
08-Jan-12 12:00:00 AM,2012-01-08,2012-01-08,2012.0,1,Q1,1,January,Jan,1,7,Sunday,Sun
12/23/2014,2014-12-23,2014-12-23,2014.0,4,Q4,12,December,Dec,52,2,Tuesday,Tue
07-Apr-14 12:00:00 AM,2014-04-07,2014-04-07,2014.0,2,Q2,4,April,Apr,15,1,Monday,Mon
11/21/2014,2014-11-21,2014-11-21,2014.0,4,Q4,11,November,Nov,47,5,Friday,Fri
1/23/2013,2013-01-23,2013-01-23,2013.0,1,Q1,1,January,Jan,4,3,Wednesday,Wed
5/21/2011,2011-05-21,2011-05-21,2011.0,2,Q2,5,May,May,20,6,Saturday,Sat
9/28/2014,2014-09-28,2014-09-28,2014.0,3,Q3,9,September,Sep,39,7,Sunday,Sun
11-Jun-11 12:00:00 AM,2011-06-11,2011-06-11,2011.0,2,Q2,6,June,Jun,23,6,Saturday,Sat
1/28/2014,2014-01-28,2014-01-28,2014.0,1,Q1,1,January,Jan,5,2,Tuesday,Tue
9/13/2014,2014-09-13,2014-09-13,2014.0,3,Q3,9,September,Sep,37,6,Saturday,Sat
12-Jan-12 12:00:00 AM,2012-01-12,2012-01-12,2012.0,1,Q1,1,January,Jan,2,4,Thursday,Thu
12/22/2011,2011-12-22,2011-12-22,2011.0,4,Q4,12,December,Dec,51,4,Thursday,Thu
02-May-13 12:00:00 AM,2013-05-02,2013-05-02,2013.0,2,Q2,5,May,May,18,4,Thursday,Thu
12/28/2011,2011-12-28,2011-12-28,2011.0,4,Q4,12,December,Dec,52,3,Wednesday,Wed
5/28/2013,2013-05-28,2013-05-28,2013.0,2,Q2,5,May,May,22,2,Tuesday,Tue
